City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
417,Saint-Georges,GD,79.38,12.0564,-61.7485,scattered clouds,Radisson Grenada Beach Resort
421,Pontal Do Parana,BR,75.09,-25.6533,-48.5128,clear sky,Eco Hostel Residencial Bananeiras
422,Pemba,MZ,75.9,-12.974,40.5178,few clouds,Guesthouse Samotina
426,Gambela,ET,76.17,8.25,34.5833,clear sky,Solomon Debebe Hotel
427,Dhidhdhoo,MV,80.38,6.8833,73.1,overcast clouds,Dhidhoo beach
429,Acarau,BR,80.53,-2.8856,-40.12,broken clouds,castelo pizzaria
440,Linguere,SN,84.42,15.3953,-15.1193,clear sky,AYO Casablanca
445,Saint-Marc,HT,78.64,19.1082,-72.6938,few clouds,Maguana Hotel
447,Port Keats,AU,89.37,-14.25,129.55,broken clouds,TDC Village (Hundred Man Camp)
450,Vitoria,BR,75.06,-20.3194,-40.3378,clear sky,Hotel Prata
456,Fortuna Foothills,US,78.28,32.6578,-114.4119,clear sky,Fortuna De Oro RV Park
457,Honiara,SB,84.88,-9.4333,159.95,overcast clouds,Heritage Park Hotel
461,Miandrivazo,MG,75.0,-19.5167,45.4667,clear sky,Hôtel Arc En Ciel Miandrivazo
470,Karaton,ID,75.36,-6.3424,106.1045,overcast clouds,Parkir Mobil Wisata CAS Water Park
480,Lakatoro,VU,84.04,-16.0999,167.4164,few clouds,Lakatoro Palm Lodge
483,Natal,BR,81.25,-5.795,-35.2094,scattered clouds,Villa Park Hotel | Natal
489,Dingle,PH,81.09,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
492,Samarai,PG,83.41,-10.6167,150.6667,overcast clouds,Nuli Sapi
495,Araouane,ML,76.05,18.9048,-3.5265,overcast clouds,
501,Ternate,ID,82.76,0.8,127.4,overcast clouds,Sahid Bela Ternate Hotel
503,The Valley,AI,80.46,18.217,-63.0578,few clouds,CeBlue Villas & Beach Resort
510,Kuching,MY,79.02,1.55,110.3333,few clouds,The Ranee Boutique Suites
511,Puerto Castilla,HN,75.15,16.0167,-85.9667,broken clouds,Jito Beach
513,Lompoc,US,78.94,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
514,Acajutla,SV,86.34,13.5928,-89.8275,scattered clouds,asi es
518,Teahupoo,PF,80.56,-17.8333,-149.2667,light rain,Vanira Lodge
519,Port-Gentil,GA,77.34,-0.7193,8.7815,overcast clouds,Fengshui Residence
520,Sorong,ID,81.25,-0.8833,131.25,overcast clouds,Waigo Splash Hotel
522,Doka,SD,79.09,13.5167,35.7667,clear sky,
525,Abidjan,CI,82.36,5.3094,-4.0197,scattered clouds,ibis Abidjan Plateau
526,Sumenep,ID,80.11,-7.0167,113.8667,light rain,OYO 3271 Homestay Pandian
531,Seguela,CI,76.89,7.9611,-6.6731,few clouds,Hotel le Carrefour
532,La Palma,US,81.37,33.8464,-118.0467,clear sky,La Quinta Inn & Suites by Wyndham Buena Park
533,Port Blair,IN,80.98,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
536,Kloulklubed,PW,82.9,7.0419,134.2556,overcast clouds,Storyboard Beach Resort
538,Conceicao Das Alagoas,BR,80.38,-19.9147,-48.3883,broken clouds,Bouganville Hotel
542,Hambantota,LK,75.54,6.1241,81.1185,broken clouds,Bungalow 63
544,Puerto Escondido,MX,78.58,15.85,-97.0667,clear sky,Aldea del Bazar Hotel and Spa
546,Kudahuvadhoo,MV,81.32,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
549,Qui Nhon,VN,76.77,13.7667,109.2333,overcast clouds,Hoang Yen Canary Hotel
553,Maceio,BR,81.84,-9.6658,-35.7353,moderate rain,Poutur Pousada
556,Cairns,AU,85.95,-16.9167,145.7667,broken clouds,Mantra Trilogy Cairns
559,Dibulla,CO,76.66,11.2725,-73.3091,overcast clouds,Hospedaje Dibulla Beach
564,Soyo,AO,76.33,-6.1349,12.3689,overcast clouds,Hotel Mpampa
568,Alugan,PH,82.31,12.2188,125.4808,overcast clouds,JM Lodge
572,Turbaco,CO,78.55,10.3294,-75.4114,few clouds,Apartamento Cartagena Edificio Conquistador
579,Saint-Pierre,RE,76.68,-21.3393,55.4781,light rain,Lindsey Hôtel
586,Auki,SB,85.68,-8.7676,160.7034,overcast clouds,Auki Motel
600,Japura,ID,79.36,-0.3167,102.35,overcast clouds,Rumah mbah Jamah
601,Vanimo,PG,79.54,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
605,Daru,PG,86.67,-9.0763,143.2092,broken clouds,Daru Lodge
609,Saint-Leu,RE,76.06,-21.15,55.2833,light rain,La Caz Oceane
616,Kavaratti,IN,82.65,10.5669,72.642,overcast clouds,Hotels in Lakshadweep Islands
624,Tuy Hoa,VN,76.08,13.0833,109.3,overcast clouds,CenDeluxe Hotel Tuy Hoa
651,Coahuayana,MX,85.48,18.7333,-103.6833,clear sky,El rranchito michuacan de ocampos
655,Bowen,AU,86.22,-20.0167,148.2333,broken clouds,Castle Motor Lodge Motel
658,Meulaboh,ID,77.43,4.1363,96.1285,light rain,Kost Pria
659,Sungai Besar,MY,75.25,3.6746,100.9867,overcast clouds,NIDA Rooms Sabak Bernam Comfort
666,Santiago Del Estero,AR,86.81,-27.7951,-64.2615,broken clouds,Apartamentos Castelli 90
671,Kedougou,SN,80.71,12.5579,-12.1743,overcast clouds,Relais de Kédougou
679,Kannangad,IN,75.88,12.3081,75.1063,overcast clouds,Hotel Landmark
685,Mtwara,TZ,80.38,-10.2667,40.1833,overcast clouds,TIL Hotels Mtwara
694,Rio Verde De Mato Grosso,BR,80.58,-18.9181,-54.8442,scattered clouds,Hotel Valência
699,Soure,BR,80.37,-0.7167,-48.5233,few clouds,Casarão da Amazônia
701,Poum,NC,80.76,-20.2333,164.0167,clear sky,Gîte kajeon
