City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Novyy Nekouz,RU,57.9029,38.07,33.26,99,100,9.53,snow
300,Guanica,PR,17.9716,-66.908,75.88,68,3,3.49,clear sky
301,Anadyr,RU,64.75,177.4833,-1.7,71,75,2.24,broken clouds
302,Touros,BR,-5.1989,-35.4608,81.5,74,44,11.56,scattered clouds
303,Maracacume,BR,-2.0428,-45.9592,75.56,87,69,3.83,broken clouds
304,Bellevue,US,47.6104,-122.2007,57.85,98,90,6.91,mist
305,Omboue,GA,-1.5746,9.2618,75.83,91,100,2.13,overcast clouds
306,Aswan,EG,24.0934,32.907,70.34,29,1,9.53,clear sky
307,Antofagasta,CL,-23.65,-70.4,61.88,82,39,6.53,scattered clouds
308,Beringovskiy,RU,63.05,179.3167,5.11,96,100,6.67,overcast clouds
309,Sorland,NO,67.667,12.6934,35.19,69,100,21.61,snow
310,Orangeburg,US,33.4918,-80.8557,48.22,53,1,0.0,clear sky
311,Hofn,IS,64.2539,-15.2082,35.35,65,99,18.28,overcast clouds
312,Mahibadhoo,MV,3.7833,72.9667,81.55,73,100,17.31,overcast clouds
313,Bahia Blanca,AR,-38.7196,-62.2724,60.13,88,100,3.65,overcast clouds
314,Korla,CN,41.7597,86.1469,27.43,91,50,3.89,scattered clouds
315,Eyl,SO,7.9803,49.8164,77.9,80,36,12.91,scattered clouds
316,Aksarka,RU,66.5606,67.7975,-18.74,100,74,4.74,broken clouds
317,Erzin,TR,36.9559,36.2,55.92,63,100,4.12,overcast clouds
318,Nuevo Progreso,MX,23.1667,-97.95,65.16,89,82,3.89,broken clouds
319,Tynda,RU,55.1667,124.7167,3.87,73,100,6.53,overcast clouds
320,Broome,US,42.2506,-75.833,29.17,68,90,0.0,overcast clouds
321,Sinop,TR,41.7711,34.8709,51.82,85,100,13.91,overcast clouds
322,Fomboni,KM,-12.28,43.7425,80.2,78,69,16.31,light rain
323,Nalut,LY,30.3333,10.85,66.99,37,94,13.13,overcast clouds
324,Rafaela,AR,-31.2503,-61.4867,74.21,50,100,3.67,overcast clouds
325,Zonguldak,TR,41.25,31.8333,55.15,60,100,4.83,overcast clouds
326,Shu,KZ,43.5983,73.7614,28.6,45,0,1.34,clear sky
327,Yar-Sale,RU,66.8333,70.8333,1.72,96,97,9.78,overcast clouds
328,Pacifica,US,37.6138,-122.4869,69.53,59,40,0.0,scattered clouds
329,Inhambane,MZ,-23.865,35.3833,68.04,70,44,8.55,scattered clouds
330,Archidona,ES,37.0965,-4.3887,41.56,79,14,6.24,few clouds
331,Richards Bay,ZA,-28.783,32.0377,66.45,73,20,17.92,few clouds
332,Colares,PT,38.7992,-9.4469,49.68,58,73,21.21,broken clouds
333,Kuito,AO,-12.3833,16.9333,60.28,98,89,5.99,light rain
334,Bemidji,US,47.4736,-94.8803,30.49,74,1,12.66,clear sky
335,Fort Nelson,CA,58.8053,-122.7002,13.59,92,75,2.3,broken clouds
336,Narsaq,GL,60.9167,-46.05,37.62,99,100,4.09,moderate rain
337,Kamenka,RU,51.3223,42.7678,36.36,95,100,15.14,overcast clouds
338,Cururupu,BR,-1.8283,-44.8683,76.66,88,69,3.27,broken clouds
339,Dodge City,US,37.7528,-100.0171,48.45,46,1,9.22,clear sky
340,Juybar,IR,36.6412,52.9124,52.77,85,6,5.97,clear sky
341,Cubuk,TR,40.2386,33.0322,51.55,93,75,3.44,broken clouds
342,Muzhi,RU,65.3667,64.6667,-6.79,95,68,5.28,broken clouds
343,Labuhan,ID,-6.8844,112.2051,78.37,82,100,10.74,light rain
344,Ketchikan,US,55.3422,-131.6461,46.87,93,90,19.57,moderate rain
345,Alekseyevsk,RU,57.8406,108.3492,10.2,94,100,8.7,light snow
346,Sao Filipe,CV,14.8961,-24.4956,77.7,71,28,10.8,scattered clouds
347,Sungaipenuh,ID,-2.0833,101.3833,66.11,86,100,1.12,overcast clouds
348,Takoradi,GH,4.8845,-1.7554,79.07,84,98,7.0,overcast clouds
349,Onguday,RU,50.75,86.15,14.56,81,100,3.49,overcast clouds
350,Taraz,KZ,42.9,71.3667,19.81,93,90,8.95,mist
